整数型|整数型|整数型|整数型|整数型|整数型|整数型|不可用|整数型|字符型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|字符型|字符型|整数型|字符型|不可用|整数型|字符型|整数型|整数型|不可用|不可用|不可用|整数型|整数型|整数型|字符型|整数型|字符型|整数型|字符型|整数型|整数型|不可用|整数型|整数型|整数型|整数型|整数型|整数型|整数型|字符型|整数型|整数型|字符型|不可用|字符型
18|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|唐僧礼包|使用后获得唐僧|1|UI\Head\role\chara_0018.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|18|0|0.000000|0|0|0.000000| |0.000000
20|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|阿尔冯斯礼包|使用后获得岩石巨像|1|UI\Head\role\chara_0020.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|20|0|0.000000|0|0|0.000000| |0.000000
23|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|齐天小剩礼包|使用后获得齐天小剩|1|UI\Head\role\chara_0023.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|23|0|0.000000|0|0|0.000000| |0.000000
29|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|沙耶礼包|使用后获得沙耶|1|UI\Head\role\chara_0029.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|29|0|0.000000|0|0|0.000000| |0.000000
30|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|哈桑礼包|使用后获得哈桑|1|UI\Head\role\chara_0030.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|30|0|0.000000|0|0|0.000000| |0.000000
31|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|天天礼包|使用后获得天天|1|UI\Head\role\chara_0031.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|31|0|0.000000|0|0|-20042.000000| |0.000000
31|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|悠音礼包|使用后获得悠音|1|UI\Head\role\chara_0295.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|31|0|0.000000|0|0|20042.000000| |0.000000
32|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|本多二代礼包|使用后获得本多二代|1|UI\Head\role\chara_0032.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|32|0|0.000000|0|0|0.000000| |0.000000
33|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|凸守早苗礼包|使用后获得凸守早苗|1|UI\Head\role\chara_0033.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|33|0|0.000000|0|0|0.000000| |0.000000
34|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|雪菜礼包|使用后获得雪菜|1|UI\Head\role\chara_0034.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|34|0|0.000000|0|0|0.000000| |0.000000
35|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|圣大人礼包|使用后获得圣大人|1|UI\Head\role\chara_0035.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|35|0|0.000000|0|0|0.000000| |0.000000
36|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|富樫勇太礼包|使用后获得富樫勇太|1|UI\Head\role\chara_0036.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|36|0|0.000000|0|0|0.000000| |0.000000
37|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|司波深雪礼包|使用后获得司波深雪|1|UI\Head\role\chara_0037.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|37|0|0.000000|0|0|0.000000| |0.000000
38|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|风音日和礼包|使用后获得风音日和|1|UI\Head\role\chara_0038.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|38|0|0.000000|0|0|0.000000| |0.000000
39|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|土间埋礼包|使用后获得霍比侦察兵|1|UI\Head\role\chara_0039.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|39|0|0.000000|0|0|0.000000| |0.000000
40|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|战场原黑仪礼包|使用后获得战场原黑仪|1|UI\Head\role\chara_0040.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|40|0|0.000000|0|0|0.000000| |0.000000
41|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|赫拉克勒斯礼包|使用后获得赫拉克勒斯|1|UI\Head\role\chara_0041.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|41|0|0.000000|0|0|0.000000| |0.000000
42|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|缇娜礼包|使用后获得缇娜|1|UI\Head\role\chara_0042.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|42|0|0.000000|0|0|0.000000| |0.000000
43|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|跳跃临时工礼包|使用后获得跳跃临时工|1|UI\Head\role\chara_0043.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|43|0|0.000000|0|0|0.000000| |0.000000
44|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|跳跃临时工礼包|使用后获得跳跃临时工|1|UI\Head\role\chara_0044.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|44|0|0.000000|0|0|0.000000| |0.000000
45|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|浅间·智礼包|使用后获得浅间·智|1|UI\Head\role\chara_0045.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|45|0|0.000000|0|0|0.000000| |0.000000
46|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|莉娜·因巴斯礼包|使用后获得莉娜·因巴斯|1|UI\Head\role\chara_0046.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|46|0|0.000000|0|0|0.000000| |0.000000
47|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|七宫智音礼包|使用后获得七宫智音|1|UI\Head\role\chara_0047.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|47|0|0.000000|0|0|0.000000| |0.000000
48|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|草帽小子礼包|使用后获得草帽小子|1|UI\Head\role\chara_0048.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|48|0|0.000000|0|0|0.000000| |0.000000
50|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|黑羽快斗礼包|使用后获得黑羽快斗|1|UI\Head\role\chara_0050.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|50|0|0.000000|0|0|0.000000| |0.000000
51|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|匹诺曹礼包|使用后获得匹诺曹|1|UI\head\role\chara_0051.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|51|0|0.000000|0|0|0.000000| |0.000000
52|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|我受罗礼包|使用后获得我受罗|1|UI\head\role\chara_0052.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|52|0|0.000000|0|0|-20042.000000| |0.000000
52|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|青铜小哥礼包|使用后获得青铜小哥|1|UI\head\role\chara_0295.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|52|0|0.000000|0|0|20042.000000| |0.000000
53|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|亚瑟王礼包|使用后获得亚瑟王|1|UI\head\role\chara_0053.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|53|0|0.000000|0|0|0.000000| |0.000000
54|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|西洋剑姬礼包|使用后获得西洋剑姬|1|UI\head\role\chara_0054.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|54|0|0.000000|0|0|0.000000| |0.000000
55|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|雅典娜礼包|使用后获得雅典娜|1|UI\head\role\chara_0055.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|55|0|0.000000|0|0|0.000000| |0.000000
56|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|巴依老爷礼包|使用后获得巴依老爷|1|UI\head\role\chara_0056.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|56|0|0.000000|0|0|0.000000| |0.000000
57|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|乔帮主礼包|使用后获得乔帮主|1|UI\head\role\chara_0057.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|57|0|0.000000|0|0|0.000000| |0.000000
58|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|神目黑刀礼包|使用后获得神目黑刀|1|UI\head\role\chara_0058.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|58|0|0.000000|0|0|0.000000| |0.000000
59|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|库奇礼包|使用后获得库奇|1|UI\head\role\chara_0059.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|59|0|0.000000|0|0|0.000000| |0.000000
60|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|立花响礼包|使用后获得立花响|1|UI\head\role\chara_0060.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|60|0|0.000000|0|0|0.000000| |0.000000
61|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|貂蝉礼包|使用后获得貂蝉|1|UI\head\role\chara_0061.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|61|0|0.000000|0|0|0.000000| |0.000000
62|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|摩尔迦娜礼包|使用后获得摩尔迦娜|1|UI\head\role\chara_0062.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|62|0|0.000000|0|0|0.000000| |0.000000
63|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|梅比斯礼包|使用后获得梅比斯|1|UI\head\role\chara_0063.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|63|0|0.000000|0|0|0.000000| |0.000000
64|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|白鬼院凛凛蝶礼包|使用后获得白鬼院凛凛蝶|1|UI\head\role\chara_0064.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|64|0|0.000000|0|0|0.000000| |0.000000
65|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|蛇叔礼包|使用后获得蛇叔|1|UI\Head\role\chara_0065.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|65|0|0.000000|0|0|-20042.000000| |0.000000
65|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|幻影博哈拉礼包|使用后获得幻影博哈拉|1|UI\head\role\chara_0295.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|65|0|0.000000|0|0|20042.000000| |0.000000
66|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|蛇血舞姬礼包|使用后获得蛇血舞姬|1|UI\head\role\chara_0066.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|66|0|0.000000|0|0|0.000000| |0.000000
67|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|火拳·S礼包|使用后获得火拳·S|1|UI\Head\role\chara_0067.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|67|0|0.000000|0|0|0.000000| |0.000000
69|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|左二少礼包|使用后获得左二少|1|UI\head\role\chara_0069.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|69|0|0.000000|0|0|-20042.000000| |0.000000
70|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|青丘国主礼包|使用后获得青丘国主|1|UI\head\role\chara_0070.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|70|0|0.000000|0|0|-20042.000000| |0.000000
69|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|龙焰博哈拉礼包|使用后获得龙焰博哈拉|1|UI\head\role\chara_0295.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|69|0|0.000000|0|0|20042.000000| |0.000000
70|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|火拳雷奥礼包|使用后获得火拳雷奥|1|UI\head\role\chara_0295.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|70|0|0.000000|0|0|20042.000000| |0.000000
71|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|胡子船长礼包|使用后获得胡子船长|1|UI\head\role\chara_0071.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|71|0|0.000000|0|0|0.000000| |0.000000
72|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|卡殿下礼包|使用后获得卡殿下|1|UI\head\role\chara_0072.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|72|0|0.000000|0|0|-20042.000000| |0.000000
72|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|瞳礼包|使用后获得瞳|1|UI\head\role\chara_0295.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|72|0|0.000000|0|0|20042.000000| |0.000000
75|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|纳兹礼包|使用后获得纳兹|1|UI\head\role\chara_0075.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|75|0|0.000000|0|0|0.000000| |0.000000
76|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|狂暴补师礼包|使用后获得狂暴补师|1|UI\head\role\chara_0076.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|76|0|0.000000|0|0|0.000000| |0.000000
78|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|盗贼娃礼包|使用后获得盗贼娃|1|UI\head\role\chara_0078.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|78|0|0.000000|0|0|0.000000| |0.000000
79|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|法师礼包|使用后获得法师|1|UI\head\role\chara_0079.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|79|0|0.000000|0|0|0.000000| |0.000000
80|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|术士娃礼包|使用后获得术士娃|1|UI\head\role\chara_0080.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|80|0|0.000000|0|0|0.000000| |0.000000
81|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|骑士娃礼包|使用后获得骑士娃|1|UI\head\role\chara_0081.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|81|0|0.000000|0|0|0.000000| |0.000000
82|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|牧师娃礼包|使用后获得牧师娃|1|UI\head\role\chara_0082.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|82|0|0.000000|0|0|0.000000| |0.000000
83|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|猎人娃礼包|使用后获得猎人娃|1|UI\head\role\chara_0083.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|83|0|0.000000|0|0|0.000000| |0.000000
84|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|战士娃礼包|使用后获得战士娃|1|UI\head\role\chara_0084.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|84|0|0.000000|0|0|0.000000| |0.000000
85|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|佐罗礼包|使用后获得佐罗|1|UI\head\role\chara_0085.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|85|0|0.000000|0|0|0.000000| |0.000000
86|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|死神礼包|使用后获得死神|1|UI\head\role\chara_0086.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|86|0|0.000000|0|0|0.000000| |0.000000
